ITEM CCODE,BARCODE,ITEM DESCRIPTION,CATERGORY,item catergory,unit of measure
XCO-BLA-KGR,30225.0,Black Jack,ingredient,external,kg
XCO-LEM-KGR,30164.0,Coloured Powder Lemon Yellow,ingredient,external,kg
XCO-PBL-KGR,30176.0,powder food colouring blue,ingredient,external,kg
XCO-PGN-KGR,30175.0,Powder colouring green,ingredient,external,kg
XCO-PIL-KGR,30173.0,Pillar Box Red,ingredient,external,kg
XCO-REG-EAC,30177.0,Red piping gel,ingredient,external,kg
XCO-VES-LTR,30708.0,Vanilla Essence,ingredient,external,lt
XDA-BERG-KGR,,Berg Cheese,ingredient,external,kg
XDA-BME-KGR,,Boneless Mutton,ingredient,external,kg
XDA-BUT-EAC,30756.0,Buttermilk,ingredient,external,lt
XDA-CBF-KGR,,Chicken Breast Fillet,ingredient,external,kg
XDA-CCS-KGR,30179.0,Cheese Cottage Smooth,ingredient,external,kg
XDA-CHE-KGR,30562.0,Cheddar Cheese,ingredient,external,kg
XDA-CHI-EAC,,Chicken Wings Drumettes,ingredient,external,kg
XDA-CRA-1KG,,Crab Sticks,ingredient,external,kg
XDA-CRE-250,30848.0,Cream Cheese,ingredient,external,kg
XDA-CRF-250,,Cream Fresh 250ml,ingredient,external,lt
XDA-CRF-500,30180.0,Cream Fresh 500ml,ingredient,external,lt
XDA-CSS-KGR,,Chicken Salsa Snack Wings 6kg,ingredient,external,kg
XDA-CTS-KGR,,Chicken Tikka Sausage,ingredient,external,ea
XDA-DHA-KGR,,Pea Dhall 5kg,ingredient,external,kg
XDA-FCR-250ML,,Cream Fresh 250ml,ingredient,external,lt
XDA-FLO-KGR,,Flora light,consumables,external,kg
XDA-HAK-1KG,,Hake Fillet -fish,ingredient,external,kg
XDA-JAL-KGR,,Jalapenos,ingredient,external,kg
XDA-LAM- KGR,,Lamb Mince,ingredient,external,kg
XDA-MBP-EAC,,Mini Butter Portions 8grams,ingredient,external,kg
XDA-MCP-KGR,,Mutton Cheese Patties,ingredient,external,kg
XDA-MJP-EAC,,Mini Jam Portions 15Grams,ingredient,external,kg
XDA-MVE-KGR,,Mix Veggies Mcain,ingredient,external,kg
XDA-NON-KGR,30183.0,Non Dairy Cream,ingredient,external,kg
XDA-NUT-LTR,30597.0,Nutriday Yogurt Plain,ingredient,external,kg
XDA-OGC-LTR,,Cream Fresh Orange Grove 1litre,ingredient,external,lt
XDA-OMU-KGR,,Oriental Mutton Sausage,ingredient,external,kg
XDA-PAR-EAC,,Unbaked Patha Rolls,ingredient,external,kg
XDA-PEA-KGR,,Peas Frozen 10kg,ingredient,external,kg
XDA-PUP-KGR,,Fathimas Puff Pastry 1kg,ingredient,external,kg
XDA-SAC-1LT,,Milk 1lt Sachet,ingredient,external,lt
XDA-SMF-EAC,,Saldanha Middlecut Tin Fish 400g,ingredient,external,kg
XDA-SOY-KGR,,Tommy Marinated Mince,ingredient,external,kg
XDA-SWC-KGR,,Mcain Sweetcorn 1kg,ingredient,external,kg
XDA-TUC-KGR,,Tuna Chunks In Brine 1.7kg,ingredient,external,kg
XDA-TUS-KGR,,Tuna Shredded In Brine 1.7kg,ingredient,external,kg
XDA-TWP-KGR,,Tomato Whole Peeled,ingredient,external,kg
XDA-YDR-KGR,,Yeast Dry,ingredient,external,kg
XDE-AST-EAC,30836.0,Astd roses,miscellaneous,external,ea
XDE-DIW-EAC,,Diwali Sticker,consumables,external,ea
XDE-GBD-KGR,30187.0,Gold Beads per Kg,ingredient,external,kg
XDE-GLI-EAC,30186.0,Glitter,ingredient,external,kg
XDE-NOP-KGR,30195.0,Non Pareil,ingredient,external,kg
XDE-PMG-KGR,30196.0,Powder Metallic Gold,ingredient,external,kg
XDE-PMS-KGR,30197.0,Powder Metallic Silver,ingredient,external,kg
XDE-RIB-EAC,30198.0,Ribbon,consumables,external,meter
XDE-SIL-KGR,30202.0,Silver Beads Per Kg,miscellaneous,external,kg
XDE-TEA-EAC,30201.0,Ribbon tear 1 Roll,miscellaneous,external,meter
XDO-BTE-200G,,Bakers Tennis Biscuit 200g,ingredient,external,kg
XFA-COO-LTR,,Cooking Oil 5ltrs,ingredient,external,lt
XFA-CRI-LTR,30615.0,Crispa Oil,ingredient,external,lt
XFA-EGG-KGR,,Eggs,ingredient,external,kg
XFA-FPS-KGR,30206.0,Fat Pastrex Super,ingredient,external,kg
XFA-GHE-KGR,,Clover Ghee,ingredient,external,kg
XFA-MAR-KGR,30208.0,Margarine Marvello Yellow,ingredient,external,kg
XFA-MAS-KGR,30209.0,Margarine Mastercraft White,ingredient,external,kg
XFA-MOO-KGR,30780.0,Mooi river butter,ingredient,external,kg
XFA-MRG-KGR,30210.0,Margarine Mr G,ingredient,external,kg
XFA-OIL-LTR,30211.0,Oil Crispa Gold,ingredients,external,lt
XFA-OVA-KGR,30212.0,Ovalette,ingredient,external,kg
XFA-PTX-KGR,30672.0,Pastrex Super,ingredient,external,kg
XFA-RAM-KGR,30810.0,Rama,ingredient,external,kg
XFA-REL-LTR,30213.0,Release,ingredient,external,kg
XFA-SOI-LTR,,Sunflower Sunfoil 5 Ltr,ingredient,external,lt
XFA-SOR-LRT,30242.0,Sorbitol 30LTR,ingredient,external,lt
XFA-YWT-KGR,30244.0,Yeast Wet,ingredient,external,kg
XFL-BRF-125,30215.0,Flour Brown,packaging,external,kg
XFL-CAF-125,30217.0,FlourCake,ingredients,external,kg
XFL-CMB-125,,Complete Mix - Brown Bread Flour,ingredients,external,kg
XFL-CMW-125,,Complete Mix - White Bread Flour,ingredient,external,kg
XFL-GSE-KGR,,Semolina Golden Cloud 1kg,ingredient,external,kg
XFL-NYA-KGR,,Nyala Maize Meal 10kg,ingredient,external,kg
XMO-BS6-KGR,,Premix Bread S6002 5%,ingredient,external,kg
XMP -BFM-KGR,,Premix Butter Flavoured Madeira 12.5kg,ingredient,external,kg
XMP-S60-KGR,,Premix S6002 Bread,ingredient,external,kg
XMP-SCC-KGR,,Sponge Chocolate Coastal,ingredient,external,kg
XMP-SRA-KGR,,Soft Roll Alpaga Improver,ingredient,external,kg
XMP-SRE-EAC,,Sponge Redvelvet Premix,ingredient,external,kg
XPM-5PB-KGR,,Premix bread 5%,ingredient,external,kg
XPM-AFG-KGR,,Apricot Flan Gel,ingredient,external,kg
XPM-CCM-KGR,30110.0,Mix Chocomousse,ingredient,external,kg
XPM-EMC-KGR,,Sponge Ebony Moist Choc Mix,ingredient,external,kg
XPM-FAI-KGR,30118.0,Premix 15% Sweet Fairglen,ingredient,external,kg
XPM-FON-5KG,30233.0,Fond Suisse,ingredient,external,kg
XPM-FRU-KGR,30088.0,Fruit Mince,ingredient,external,kg
XPM-HXB-KGR,30104.0,Hot x bun full premix,ingredient,external,kg
XPM-MUE-KGR,30113.0,Mix Muesli Slice,ingredient,external,kg
XPM-NOB-KGR,,No-bake premix,ingredient,external,kg
XPM-PAS-KGR,30116.0,Paste 4.5% Standard Bread,ingredient,external,kg
XPM-SCH-KGR,30099.0,Sponge Chocolate,ingredient,external,kg
XPM-SPC-KGR,30243.0,Stabiliser Pettina Cream,ingredient,external,kg
XPM-SPE-KGR,30128.0,Sponge Eggless,ingredient,external,kg
XPM-SPI-KGR,30100.0,Sponge Pettina Instant,ingredient,external,kg
XPM-SVC-KGR,,Sponge Instant Coastal,ingredient,external,kg
XPM-SWE-KGR,30119.0,Premix 20% Sweet Red,ingredient,external,kg
XPO-BCS-KGR,,Specialty-Chai,ingredient,external,kg
XPO-BMS-LTR,,Bubblegum Milkshake Syrup,ingredient,external,lt
XPO-CMS-LTR,,Chocolate Milkshake Syrup,ingredient,external,lt
XPO-LMS-LTR,,Lime Milkshake Syrup,ingredient,external,lt
XPO-MHS-LTR,,Monin Hazelnut Syrup,ingredient,external,lt
XPO-MVS-LTR,,Monin Vanilla Syrup,ingredient,external,lt
XPO-SCF-KGR,,Specialty - Coffee Freezo,ingredient,external,kg
XPO-SCM-LTR,,Salted Caramel Milkshake Syrup,ingredient,external,kg
XPO-SIC-KGR,,Specialty -Indonesian Coffee,ingredient,external,kg
XPO-SMC-EAC,,Monin Caramel Sauce,ingredient,external,lt
XPO-SMC-LTR,,Monin Caramel Syrup,ingredient,external,lt
XPO-SMS-LTR,,Strawberry Milkshake Syrup,ingredient,external,lt
XSN-ANI-KGR,30479.0,Aniseed,ingredient,external,kg
XSN-FLA-KGR,,Flaked Almonds 1Kg,ingredient,external,kg
XSN-NUT-KGR,30131.0,Nuts Nibb,ingredient,external,kg
XSN-PEH-KGR,,Pecan Nut Halves,ingredient,external,kg
XSN-SDP-KGR,30135.0,seed poppy,ingredient,external,kg
XSN-SES-KGR,30499.0,Sesame Seed,Ingredient,external,kg
XSN-SJEE-KGR,,Spice Jeera Whole,ingredient,external,kg
XSN-SMI-KGR,,Spice Mixed Herbs,ingredient,external,kg
XSN-SOR-KGR,,Spice Origanum,ingredient,external,kg
XSN-WHS-KGR,,Whole Somph,ingredient,external,kg
XSP- DHA-EAC,,Spice- Dhania,ingredient,external,kg
XSP-ALG-KGR,,Ground Almonds,ingredient,external,kg
XSP-BAK-KGR,30239.0,Baking Powder (Hercules),ingredient,external,kg
XSP-BIC-KGR,30224.0,Bicarbonate Soda,ingredient,external,kg
XSP-CIN-KGR,30506.0,Cinnamon Ground,ingredient,external,kg
XSP-COR-KGR,30633.0,CornFlour,ingredient,external,kg
XSP-SAL-EAC,30240.0,Salt Bale,ingredient,external,kg
XSP-SBN-KGR,30142.0,Spice Bunspice,ingredient,external,kg
XSP-SNU-800G,,Spice Nutmeg Ground 800g,ingredient,external,kg
XSP-WNM-KGR,1034.0,Whole Nutmeg,ingredient,external,kg
XSU-ESS-KGR,,Equisweet Sucralose Sachets,ingredient,external,kg
XSU-HIS-KGR,30671.0,Huletts Icing Sugar,ingredient,external,kg
XSU-IBS-KGR,,Hullets Brown Sugar Tubes,ingredient,external,kg
XSU-IWS-KGR,,Huletts White Sugar Tubes,ingredient,external,kg
XSU-SBN-KGR,30148.0,Sugar Brown,ingredient,external,kg
XSU-SCH-KGR,30149.0,Sugar Castor Huletts,ingredients,external,kg
XSU-SIC-KGR,30150.0,Sugar Icing Huletts,ingredient,external,kg
XSU-SWH-KGR,30151.0,Sugar White Huletts,ingredient,external,kg
XTO - PIR-KGR,,Pineapple Rings 440g,ingredient,external,kg
XTO- ESG-KGR,,Espresso Grind Slojo Spiced Chai,ingredient,external,kg
XTO- GRT-EAC,,Green Tea,drink,external,kg
XTO- VIC-LTR,,Gatti Vanilla Ice Cream,ingredient,external,kg
XTO-AJM-KGR,30219.0,Jam Apricot (All Gold),ingredient,external,kg
XTO-ALE-KGR,,Almond Essence,ingredient,external,kg
XTO-ALM-KGR,30188.0,Almond Icing,ingredient,external,kg
XTO-ASA-KGR,,Ayesha Samoosa Strips,ingredient,external,kg
XTO-BAR-KGR,30651.0,Bar One Spread,ingredient,external,kg
XTO-BOO-EAC,,Biscuit Original Oreo,biscuit,internal,
XTO-CCL-KGR,,Officemate Creamy Chai Latte,ingredient,external,kg
XTO-CFU-KGR,,Cereal Choc Future Life 1.25kg,ingredient,external,kg
XTO-CHE-KGR,30222.0,Pie Filling Black Forest Pie Filling,ingredient,external,kg
XTO-CHI-LTR,,Sauce Chilli 2lt,ingredient,external,lt
XTO-COB-KGR,,Coffee Beans,ingredient,external,kg
XTO-CTS-EAC,,Carte D Toffee Sauce,ingredient,external,kg
XTO-DHC-KGR,,Officemate Dark Hot Choc,ingredient,external,kg
XTO-GAR-KGR,,Spread Garlic & Herb,ingredient,external,kg
XTO-GRA-KGR,30221.0,Pie Filling Granadilla,ingredient,external,kg
XTO-GSP-KGR,30561.0,Golden Syrup,ingredient,external,kg
XTO-HAS-KGR,,Spread Hazelnut 5kg,ingredient,external,kg
XTO-HCC-KGR,,Hot Chocolate Coffee Merchant,ingredient,external,kg
XTO-HPM-EAC,,Carte D Hot Pudding Mix,ingredient,external,kg
XTO-HZL-KGR,30152.0,Hazelnut Praline,ingredient,external,kg
XTO-ICE-KGR,,Ice,ingredient,external,kg
XTO-ICK-5KG,30105.0,Instant Custard Kramess,ingredient,external,kg
XTO-JEL-KG,,Assorted Jelly,ingredient,external,kg
XTO-KBO-EAC,,Knorr Brown Onion Soup,ingredient,external,kg
XTO-KCM-EAC,,Knorr Creamy Mushroom Sauce,ingredient,external,kg
XTO-KCS-EAC,,Knorr Cream of Chicken Soup,ingredient,external,kg
XTO-KLI-KGR,,Klim 500g,ingredient,external,kg
XTO-LEC-5KG,30230.0,Dip Leamington Chocolate,ingredient,external,kg
XTO-LER-5KG,30231.0,Dip Leamington Raspberry,ingredient,external,kg
XTO-MAY-KGR,,Mayonnaise Cross & Blackwell 3kg,ingredient,external,kg
XTO-MBD-500ML,,Milky Bar Dessert Topping,ingredient,external,kg
XTO-MHC-KGR,,Officemate Milky Hot Choc,ingredient,external,kg
XTO-MUS-LTR,,Mustard Sauce,ingredient,external,kg
XTO-NUT-KGR,,Nutella 3kg,ingredient,external,kg
XTO-OAT-KGR,,Fine Oats 25 kg,ingredient,external,kg
XTO-PCH-KGR,30162.0,Paste Chocolate,ingredient,external,kg
XTO-PDA-KG,,Pitted Dates,ingredient,external,kg
XTO-PEP-KGR,,Nestle Peppermint Topping,ingredient,external,kg
XTO-PIN-EAC,,Pineapple crushed,ingredient,external,kg
XTO-PLI-KGR,30189.0,Icing plastic,ingredient,external,kg
XTO-RIC-KGR,,Aunt Caroline Rice,ingredient,external,kg
XTO-SAJ-900G,,Jam Strawberry All Gold 900g,ingredient,external,kg
XTO-SBJ-KGR,30220.0,Jam Strawberry (All Gold),ingredient,external,kg
XTO-SBO-KGR,30154.0,Spread Bar One Nestle,ingredient,external,kg
XTO-SCA-KGR,30155.0,Spread caramel,ingredient,external,kg
XTO-SCF-KGR,,Coffee Freezo Slojo,ingredient,external,kg
XTO-SHC-KGR,,Specialty Hot Chocolate,ingredient,external,kg
XTO-SHW-KGR,,Specialty White Hot Chocolate,ingredient,external,kg
XTO-SPE-KGR,,Spread Peanut Butter 3kg,ingredient,external,kg
XTO-STR-KGR,30710.0,Pie Filling Strawberry,ingredient,external,kg
XTO-TMR-KGR,,Taj Mahal Rice 10KG,ingredient,external,kg
XTO-TOM-LTR,,Tomatoe Sauce,ingredient,external,kg
XTO-VIN-LT,,Vinegar,ingredient,external,kg
YBA-BOO-MX1,30446.0,Sub Batter - Bar One Sponge Round,sub recipe,internal,kg
YBA-BSC-MXI,,Sub Batter- Butter Scones,sub recipe,internal,kg
YBA-CAC-MX1,30432.0,Sub Batter Carrot Cake,sub recipe,internal,kg
YBA-CCC-MX1,30859.0,Sub Batter-Carrot Cake with Cream Cheese Slab,sub recipe,internal,kg
YBA-CGS-MX1,30442.0,Sub Batter- Chocolate Gateaux Sponge,sub recipe,internal,kg
YBA-CHC-MX1,30434.0,Sub Batter-Chocolate Brownie,sub recipe,internal,kg
YBA-CHO-MX1,30352.0,Sub Sponge Batter -Chocolate,sub recipe,internal,kg
YBA-CHS-MX1,30441.0,Sub Batter-Chocolate Sponge Sheet,sub recipe,internal,kg
YBA-CSP-MX1,30447.0,Sub Batter- Choc Swissroll Sponge,sub recipe,internal,kg
YBA-CSS-MX1,30864.0,Sub Batter - choc sheet scratch mix,sub recipe,internal,kg
YBA-DEG-MX1,,Sub Batter Eggless Diwali Cake,sub recipe,internal,kg
YBA-DIS-MX1,30622.0,Sub Batter Diwali Sponge,sub recipe,internal,kg
YBA-DIV-MX1,30537.0,Sub Sponge Batter Diwali,sub recipe,internal,kg
YBA-EFS-MX1,30443.0,Sub Batter -Eggfree Sponge sheet,sub recipe,internal,kg
YBA-EGS-MX1,30623.0,Sub Batter Eggless Gateaux Sponge,sub recipe,internal,kg
YBA-ESN-MX1,30768.0,Sub Batter Snowball Eggles,sub recipe,internal,kg
YBA-FRS-MX1,30438.0,Sub Batter- Fruit Scones,sub recipe,internal,kg
YBA-HCB-MX1,30351.0,Sub Dough- Hot Cross Buns,sub recipe,internal,kg
YBA-HCC-MX1,30659.0,Sub Batter Cross for Hot Cross Buns,sub recipe,internal,kg
YBA-MAD-MX1,30435.0,Sub Batter - Madeira Slab,sub recipe,internal,kg
YBA-MCC-MX1,,Sub Sponge Batter- Moist Choc Sponge C/C,sub recipe,internal,kg
YBA-QUC-MX1,30436.0,Sub Batter -Queen Cake,sub recipe,internal,kg
YBA-RBS-MX1,30618.0,Sub Batter Rainbow Sponge,sub recipe,internal,kg
YBA-RCS-MX1,30656.0,Sub Batter Rich Choc Sponge,sub recipe,internal,kg
YBA-ROT-MX1,,Sub Dough Roti 12s,sub recipe,internal,kg
YBA-SCO-MX1,30437.0,Sub Batter - Scones,sub recipe,internal,kg
YBA-SMC-MX1,,Sub Sponge Batter - Moist Choc Sponge Fererro,sub recipe,internal,kg
YBA-SNB-MX1,30439.0,Sub Batter -Snowball,sub recipe,internal,kg
YBA-SPO-MX1,30444.0,Sub Batter - Strawberry Sponge,sub recipe,internal,kg
YBA-VAN-MX1,30353.0,Sub Sponge Batter - Vanilla Gateaux,sub recipe,internal,kg
YBA-VNS-MX1,30445.0,Sub Batter Vanilla Sheets Coastal,sub recipe,internal,kg
YBA-VSR-MX1,30448.0,Sub Batter- Vanilla Swissroll Sponge,sub recipe,internal,kg
YBA-WNS-MX1,30440.0,Sub Batter- Windsor Slab,sub recipe,internal,kg
YBU -CTR-EAC,,Cake ring tins 170X70mm,equipment,external,ea
YBU-CRE-MX6,30347.0,Sub Buns-Cream 6s,sub recipe,internal,kg
YBU-JUG-2LT,,Jug Plastic 2 litre,consumables,external,ea
YBU-JUG-5LT,,Jug Plastic 5 litre,consumables,external,ea
YBU-OVM-EAC,30005.0,Oven Mittens,consumables,external,ea
YBU-PAL-EAC,30653.0,Palette Knife,consumables,external,ea
YBU-PBR-EACH,,Pastry Brush Nylon 60mm,consumables,external,ea
YBU-SBP-EAC,30012.0,Sponge for bread pan,consumables,external,ea
YBU-SPR-EAC,30013.0,Springform Cake Pan,equipment,external,ea
YBU-SSC-EAC,,Scraper Steel 115x80mm,consumables,external,ea
YCC-14C-EAC,30288.0,Case No 14 Cake,packaging,external,ea
YCC-24E-EAC,30485.0,Madeira case 24e,packaging,external,ea
YCC-APR-EAC,,White Plastic Aprons,consumables,external,ea
YCC-BLA-EAC,,Gel super black,ingredient,external,ea
YCC-BRA-KGR,30530.0,Brandy,ingredient,external,lt
YCC-BUN-EAC,30044.0,Paper 10kg Bunny,consumables,external,kg
YCC-BUR-EAC,30169.0,Gel Burgundy,ingredient,external,kg
YCC-CHA-EAC,30630.0,Champagne Bottle,miscellaneous,external,ea
YCC-CRC-MX1,,Sub Cream Cheese,sub recipe,external,kg
YCC-CRG-EAC,,Cream Gun 500g,consumables,external,ea
YCC-CSC-EAC,,Coffee Scale,equpment,external,ea
YCC-CUP-EAC,30803.0,Red Cupcakes Cup,packaging,external,ea
YCC-DEP-EAC,,Gel Food Deep Pink,ingredient,external,kg
YCC-EDI-005,,Canon Edible Ink set 5s 480/1,ingredient,external,ea
YCC-ELE-EAC,30165.0,Electric Green Gel,ingredient,external,kg
YCC-EOR-EAC,30660.0,Gel Col. Elec Orange,ingredient,external,kg
YCC-ESL-EAC,30677.0,Electronic Scale,equpment,,kg
YCC-GEL-EAC,30185.0,Gel liquid gold /silver/ pearl,ingredient,external,kg
YCC-GEP-EAC,30625.0,Gel Food Col.Elec Purple,ingredient,external,kg
YCC-GLG-EAC,30626.0,Gel Food Col.Leaf Green,consumables,external,kg
YCC-GLY-EAC,30628.0,Gel Food Col. Lemon Yellow,ingredient,external,kg
YCC-GLY-KGR,30207.0,Glycerine,ingredient,external,kg
YCC-GOM-EAC,30002.0,GlovesOven Mittens,consumables,external,ea
YCC-GPP-EAC,30766.0,Grease Proof Paper,consumables,external,kg
YCC-GPR-EAC,30740.0,GP REAM,consumables,external,kg
YCC-GSB-EAC,30627.0,Gel Food ColSky Blue,ingredient,external,kg
YCC-ICS-EAC,,Icing Sheet A4 New,ingredients,external,ea
YCC-ISH-EAC,30235.0,Icing Sheet A4 Borderless,Ingredient,external,ea
YCC-LEA-EAC,30624.0,Leaves No.Large,miscellaneous,external,ea
YCC-LES-LTR,30690.0,Lemon Essense,ingredient,external,ea
YCC-MET-EAC,30003.0,metallic nozzil 15mm star,consumables,external,ea
YCC-MGS-EAC,30641.0,Ed Cart Canon Mg Series,consumables,external,ea
YCC-MIS-EAC,30817.0,Mistletoe Garland ribbon,miscellaneous,external,ea
YCC-MMC-EAC,30831.0,RICH MOIST XMAS CAKE,exotic cakes,internal,ea
YCC-MOH-EAC,,Mop Hats,consumables,external,ea
YCC-MXR-EAC,30816.0,Merry xmas ribbon,consumables,external,ea
YCC-NME-EAC,30014.0,Nozzels metallic,consumables,external,ea
YCC-NST-EAC,30004.0,Nozzles star tubes 5s ( 42),consumables,external,ea
YCC-OCC-KGR,,Old Cakes Currant Square,miscellaneous,external,ea
YCC-PAS-EAC,30006.0,Pastry Bag 13040 4 46cm,consumables,external,ea
YCC-PIL-EAC,30046.0,Pillars White,miscellaneous,external,ea
YCC-PIN-EAC,30166.0,Pink Gel,ingredient,external,ea
YCC-PIP-EAC,30674.0,Piping Bags No 4,consumables,external,ea
YCC-PLG-EAC,,Plastic Gloves,consumables,external,kg
YCC-POT-KGR,30237.0,Potassium Sorbate Granular,ingredient,external,kg
YCC-PSR-EAC,30045.0,Paper Silicone Ream,consumables,external,ea
YCC-PSS-EAC,30008.0,Piping Tip Star Set,consumables,external,kg
YCC-PST-EAC,30007.0,Pastry Bag 13040 5 50cm Export,consumables,external,ea
YCC-PUR-EAC,30543.0,Gel Food Colouring Purple,ingredient,external,kg
YCC-ROB-EAC,,Gel Food Royal Blue,ingredient,external,kg
YCC-SHB-EAC,,Smartchef Heavy Duty Blender,equpment,external,ea
YCC-SIL-EAC,30655.0,Silicon Paper 500,consumables,external,ea
YCC-SOS-EAC,30701.0,Soccer Set,miscellaneous,external,ea
YCC-SRD-EAC,30657.0,Gel Col.Super Red,ingredient,external,kg
YCC-SUP-EAC,30170.0,Gel Super Red,ingredient,external,kg
YCC-TEA-EAC,30172.0,Gel Teal,ingredient,external,kg
YCC-THF-KGR,,Thickflo 25kg,ingredient,external,kg
YCC-VIT-KGR,,Vitap Starch 25kg,ingredient,external,kg
YCC-XPS-EAC,30815.0,Xmas Poinsettia Star Ribbon,miscellaneous,external,ea
YCC-XSS-EAC,30834.0,Xmas stickers scroll,consumables,external,meter
YCK-BAN-MX1,30748.0,Sub-Banana Cake,sub recipe,internal,kg
YCK-FRC-MX1,30529.0,Sub Batter Christmas Windsor Plain,sub recipe,internal,kg
YCL-BAG-EAC,30048.0,Bag Black Refuse HD,packaging,external,ea
YCL-BLD-LTR,,Black Dip,consumables,external,lt
YCL-BLE-EAC,30049.0,Bleach 5L,consumables,external,lt
YCL-BRE-250G,,Detergent Brewtool 250G,consumables,external,kg
YCL-CEM-KGR,,Clenzo Espresso Cleaning Detergent,consumables,external,kg
YCL-DIS-EAC,30051.0,Dish Washing Liquid 25L,consumables,external,lt
YCL-DOO-EAC,,Doom,consumables,external,ea
YCL-EMP-EAC,30052.0,Empty Boxes,packaging,external,ea
YCL-FAS-LTR,,Fat Solves,consumables,external,lt
YCL-FLO-EAC,30053.0,Floor Cleaner Lav,consumables,external,lt
YCL-HHG-EAC,30814.0,Household Gloves,consumables,external,ea
YCL-HHH-EAC,30054.0,Handy Household 5l,consumables,external,lt
YCL-MRM-EAC,30819.0,Mr min,consumables,external,ea
YCL-OVC-EAC,30055.0,Oven Cleaner,consumables,external,lt
YCL-POT-EAC,30056.0,Pot Scourers,consumables,external,ea
YCL-SAN-500,,Hand Sanitiser 500ml,consumables,external,lt
YCL-SCC-KGR,,Speciality Cleaning Chemicals -Machine Cleaner 900,consumables,external,lt
YCL-SLW-EAC,30640.0,Steel Wool,consumables,external,ea
YCL-SPO-EAC,30057.0,Sponges,ingredient,external,ea
YCL-UCD-900G,,Urnex Cafiza2 Detergent,consumables,external,kg
YDO-BIS-MX1,30463.0,Sub Dough-Biscuit,sub recipe,internal,kg
YDO-BRB-MX1,30413.0,Sub Dough Brown Bread,sub recipe,internal,kg
YDO-BUN-MX1,,Sub Dough - Buns,sub recipe,internal,kg
YDO-CRO-MX1,,Sub dough Croissants,sub recipe,internal,kg
YDO-CUC-MX1,30794.0,Sub Dough - Butter Biscuits,sub recipe,internal,kg
YDO-DAN-MX1,30451.0,Sub Dough -Danish,sub recipe,internal,kg
YDO-DOU-MX1,30453.0,Sub Dough-Doughnut,sub recipe,internal,kg
YDO-M3M-MX1,30464.0,Sub Dough Melting Moment Round 60g,sub recipe,internal,kg
YDO-MML-MX1,,Sub Dough Melting Moments Long 95g,sub recipe,internal,kg
YDO-NAA-MX1,30449.0,Sub Dough - Naan,sub recipe,internal,kg
YDO-ROL-MX1,30450.0,Sub Dough - Rolls,sub recipe,internal,kg
YDP-CHD-MX1,30401.0,Sub Lamington -Dip Chocolate,sub recipe,internal,kg
YDP-LAM-MX3,30402.0,Sub Raspberry Lamington - Dip,sub recipe,internal,kg
YDP-SNO-MX1,30403.0,Sub Snowball Dip,sub recipe,internal,kg
YEG-SNO-MX1,30767.0,Sub Snowball Eggless,sub recipe,internal,kg
YFC-FRC-MX1,30366.0,Sub Fresh Cream,sub recipe,internal,kg
YFI-BOG-MX1,30391.0,Sub Chocolate Ganache,sub recipe,internal,kg
YFI-BOM-MX1,30409.0,Sub Choc Mousse Bar One,sub recipe,internal,kg
YFI-CCC-KGR,,Sub Choc Cream Cheese,sub recipe,internal,kg
YFI-CUS-MX1,30406.0,Sub Custard Filing,sub recipe,internal,kg
YFI-FEM-MX1,,sub choc mousse ferrero,sub recipe,internal,kg
YFI-MIL-MX1,30408.0,Sub Milk Tart Filling,sub recipe,internal,kg
YFI-MOU-MX1,,Sub Mousse Mix,sub recipe,internal,kg
YFI-SQF-MX1,30405.0,Sub Currant Square Filling,sub recipe,internal,kg
YFI-STJ-MX1,30410.0,Sub Strawberry Jam Filling,sub recipe,internal,kg
YFI-TIR-MX1,30411.0,Sub Tiramisu,sub recipe,internal,kg
YGA-19K-EAC,30061.0,Gas 19kg,consumables,external,kg
YGA-AFS-EAC,,Air Filled Stand 1550x500,miscellenous,external,ea
YGA-FIR-EAC,30799.0,Fire Extinguisher,equipment,external,ea
YPA-ECL-MX1,30457.0,Sub Batter Eclairs,sub recipe,internal,kg
YPA-PUF-MX1,30459.0,Sub Pastry-Puff,sub recipe,internal,kg
YPA-SWE-MX1,30461.0,Sub Sweet Paste,sub recipe,internal,kg
YPI-PIC-MX1,30646.0,Sub Picture,sub recipe,internal,kg
YRO-COR-M12,30649.0,Sub Cocktail Rolls 12s,sub recipe,internal,kg
YSP-BSC-MX1,,Sub- Pie Bottom Short Crust Pastry,sub recipe,internal,kg
YSP-SCM-MX1,,Sub- Chicken & Mushroom Pie Filling,sub recipe,internal,kg
YSP-SHE-MX1,30389.0,Sub Bar One Sponge - Sheets,sub recipe,internal,kg
YSP-SMC-MX1,,Sub- Mutton Curry Pie Filling,sub recipe,internal,kg
YSP-SVP-MX1,,Sub- Veg Curry Pie Filling,sub recipe,internal,kg
YSP-TRI-MX1,30355.0,Sub -Sponge Trifle,sub recipe,internal,kg
YST-A4P-EAC,30066.0,A4 PAPER,consumables,external,ea
YST-ABR-EAC,30745.0,Absa Rolls,consumables,external,ea
YST-BAT-EAC,30837.0,Battery,consumables,external,ea
YST-BCI-EAC,,New Birthday Cake Invoices,consumables,external,ea
YST-BCO-EAC,30069.0,book cover,consumables,external,ea
YST-BRO-EAC,30632.0,Brother Toner Cart.7225N,consumables,external,ea
YST-BTI-EAC,30070.0,Books Tax Invoice,consumables,external,ea
