TEM CCODE;BARCODE;ITEM DESCRIPTION;SUB CATEGORY;MAIN CATEGORY;ITEM CATEGORY;UNIT OF MEASURE;OFFICE
CEX- RTR-12;;BC 12'' Round Triple Layer Rose Pattern;novelty;novelty;internal;ea;pos
CEX-RTR-14;;BC 14'' Round Triple Layer Rose Pattern;novelty;novelty;internal;ea;pos
CEX-RTR-16;;BC 16'' Round Triple Layer Rose Pattern;novelty;novelty;internal;ea;pos
CEX-RTR-18;;BC 18'' Round Triple Layer Rose Pattern;novelty;novelty;internal;ea;pos
CEX-RTR-20;;BC 20'' Round Triple Layer Rose Pattern;novelty;novelty;internal;ea;pos
CFA-FAC-014;;BD 14'' Freshcream Alphabet Cake;novelty;novelty;internal;ea;
YCC-GOM-EAC;30002;GlovesOven Mittens;consumables;Consumables;external;ea;
YCC-GPP-EAC;30766;Grease Proof Paper;consumables;Consumables;external;kg;
YCC-GPR-EAC;30740;GP REAM;consumables;Consumables;external;kg;
YCC-MET-EAC;30003;metallic nozzil 15mm star;consumables;Consumables;external;ea;
YCC-MGS-EAC;30641;Ed Cart Canon Mg Series;consumables;Consumables;external;ea;
YCC-MOH-EAC;;Mop Hats;consumables;Consumables;external;ea;
YCC-MXR-EAC;30816;Merry xmas ribbon;consumables;Consumables;external;ea;
YCC-NME-EAC;30014;Nozzels metallic;consumables;Consumables;external;ea;
YCC-NST-EAC;30004;Nozzles star tubes 5s ( 42);consumables;Consumables;external;ea;
YCC-PAS-EAC;30006;Pastry Bag 13040 4 46cm;consumables;Consumables;external;ea;
YCC-PIP-EAC;30674;Piping Bags No 4;consumables;Consumables;external;ea;
YCC-PLG-EAC;;Plastic Gloves;consumables;Consumables;external;kg;
YCC-PSR-EAC;30045;Paper Silicone Ream;consumables;Consumables;external;ea;
YCC-PSS-EAC;30008;Piping Tip Star Set;consumables;Consumables;external;kg;
YCC-PST-EAC;30007;Pastry Bag 13040 5 50cm Export;consumables;Consumables;external;ea;
YCC-SIL-EAC;30655;Silicon Paper 500;consumables;Consumables;external;ea;
YCC-XSS-EAC;30834;Xmas stickers scroll;consumables;Consumables;external;meter;
YCL-BLD-LTR;;Black Dip;consumables;Consumables;external;lt;
YCL-BLE-EAC;30049;Bleach 5L;consumables;Consumables;external;lt;
YCL-BRE-250G;;Detergent Brewtool 250G;consumables;Consumables;external;kg;
YCL-CEM-KGR;;Clenzo Espresso Cleaning Detergent;consumables;Consumables;external;kg;
YCL-DIS-EAC;30051;Dish Washing Liquid 25L;consumables;Consumables;external;lt;
YCL-DOO-EAC;;Doom;consumables;Consumables;external;ea;
YCL-FAS-LTR;;Fat Solves;consumables;Consumables;external;lt;
YCL-FLO-EAC;30053;Floor Cleaner Lav;consumables;Consumables;external;lt;
YCL-HHG-EAC;30814;Household Gloves;consumables;Consumables;external;ea;
YCL-HHH-EAC;30054;Handy Household 5l;consumables;Consumables;external;lt;
YCL-MRM-EAC;30819;Mr min;consumables;Consumables;external;ea;
YCL-OVC-EAC;30055;Oven Cleaner;consumables;Consumables;external;lt;
YCL-POT-EAC;30056;Pot Scourers;consumables;Consumables;external;ea;
YCL-SAN-500;;Hand Sanitiser 500ml;consumables;Consumables;external;lt;
YCL-SCC-KGR;;Speciality Cleaning Chemicals -Machine Cleaner 900;consumables;Consumables;external;lt;
YCL-SLW-EAC;30640;Steel Wool;consumables;Consumables;external;ea;
YCL-UCD-900G;;Urnex Cafiza2 Detergent;consumables;Consumables;external;kg;
YGA-19K-EAC;30061;Gas 19kg;consumables;Consumables;external;kg;
YST-A4P-EAC;30066;A4 PAPER;consumables;Consumables;external;ea;
YST-ABR-EAC;30745;Absa Rolls;consumables;Consumables;external;ea;
YST-BAT-EAC;30837;Battery;consumables;Consumables;external;ea;
YST-BCI-EAC;;New Birthday Cake Invoices;consumables;Consumables;external;ea;
YST-BCO-EAC;30069;book cover;consumables;Consumables;external;ea;
YST-BRO-EAC;30632;Brother Toner Cart.7225N;consumables;Consumables;external;ea;
YST-BTI-EAC;30070;Books Tax Invoice;consumables;Consumables;external;ea;
YST-BTP-EAC;30840;Black Tape;consumables;Consumables;external;ea;
YST-DIW-EAC;30782;Diwali Invoice Books;consumables;Consumables;external;ea;
YST-ERC-EAC;;Epson Ribbon Cartridge;consumables;Consumables;external;ea;
YST-EXE-EAC;30065;A4 exercise book;consumables;Consumables;external;ea;
YST-HCB-EAC;30732;Hard cover book;consumables;Consumables;external;ea;
YST-HLS-EAC;30843;High lighters;consumables;Consumables;external;ea;
YST-LMP-EAC;30797;Laminating Plastic;consumables;Consumables;external;ea;
YST-LPS-EAC;30074;Laser Payslips;consumables;Consumables;external;ea;
YST-PFL-EAC;30075;paper file;consumables;Consumables;external;ea;
YST-PRI-EAC;30750;Pritt;consumables;Consumables;external;ea;
YST-SQA-PAC;30078;square white paper;consumables;Consumables;external;ea;
YST-STA-BOX;30079;Staples rexel no .56;consumables;Consumables;external;ea;
YST-TAP-EAC;30728;tape;consumables;Consumables;external;ea;
YST-TIL-EAC;30687;Till Rolls;consumables;Consumables;external;ea;
YST-TIP-EAC;30860;Tipex;consumables;Consumables;external;ea;
YST-TRL-EAC;30059;toilet roll;consumables;Consumables;external;ea;
YUT-GRU-EAC;30654;Grunter Knife;consumables;Consumables;external;ea;
YUT-PIP-EAC;30594;Piping Bag No 5;consumables;Consumables;external;ea;
ZPA- SSW-EAC;;Stirrer Sticks Wooden;consumables;Consumables;external;ea;
ZPA-SER-BOX;30315;Servittes 200x300;consumables;Consumables;external;ea;
ZPA-SSW-EAC;;Stirrer Sticks Wooden;consumables;Consumables;external;ea;
ZPL-DES-EAC;30274;Desert Spoons;consumables;Consumables;external;ea;
ZPL-STR-BOX;30317;Wrapped Straws;consumables;Consumables;external;ea;
ZPL-TRO-EAC;30316;Trolley Cover;consumables;Consumables;external;ea;
ZPL-WSS--BOX;;Wrapped Smoothie Straw;consumables;Consumables;external;ea;
REP-BRE-EAC;;Bread Slicer Blades;equipment;Equipment;external;ea;
YBU -CTR-EAC;;Cake ring tins 170X70mm;equipment;Equipment;external;ea;
YBU-SPR-EAC;30013;Springform Cake Pan;equipment;Equipment;external;ea;
YCC-CSC-EAC;;Coffee Scale;equpment;Equipment;external;ea;
YCC-ESL-EAC;30677;Electronic Scale;equpment;Equipment;external;ea;
YCC-SHB-EAC;;Smartchef Heavy Duty Blender;equpment;Equipment;external;ea;
YGA-FIR-EAC;30799;Fire Extinguisher;equipment;Equipment;external;ea;
YUT-CDW-EAC;;Cutter Dough Wheel Divider;equipment;Equipment;external;ea;
YUT-SCA-EAC;30652;Scale Electronic;equipment;Equipment;external;ea;
YUT-WHI-EAC;;Whisks 350mm;equipment;Equipment;external;ea;
DRI-AMA-EAC;;Clover Amasi 2kg;ingredients;ingredients;Internal;kg;
DRI-BLI-EAC;;Clover Bliss Double cream yogurt;ingredients;ingredients;Internal;ea;
DRI-CHF-EAC;;Chocolate Freezo;ingredients;ingredients;Internal;kg;
DRI-COZ-500;5449000131836;Coca-Cola Zero 500ml;ingredients;ingredients;Internal;ea;
JUI-DBY-EAC;;Dairy Bel Double Cream Yogurt 1kg;ingredients;ingredients;Internal;kg;
JUI-MAA-EAC;6009616048974;Maas 500g Low Fat;ingredients;ingredients;Internal;ea;
MIL-ALM-EAC;;Almond Milk;ingredients;ingredients;Internal;lt;
MIL-CON-EAC;;Clover Condensed Milk 385g;ingredients;ingredients;Internal;kg;
MIL-MFC-1LT;6001299025402;Milk 1l Full Cream;ingredients;ingredients;Internal;ea;
MIL-MFC-250;6001299025419;Milk 250ml Full Cream;ingredients;ingredients;Internal;ea;
MIL-MFC-2LT;;Milk 2ltr Full Cream;ingredients;ingredients;Internal;lt;
MIL-OAT-EAC;;Oat Milk;ingredients;ingredients;Internal;lt;
MIL-SOY-EAC;;Soy Milk;ingredients;ingredients;Internal;ea;
MIS-API-EAC;30421;Picture;ingredients;ingredients;Internal;ea;
MIS-RIP-EAC;10299;Ribbon Picture;ingredients;ingredients;Internal;ea;
CFA-FAE-016;;BD 16'' Eggless Freshcream Alphabet Cake;novelty;novelty;internal;ea;pos
M-KOK-KGR;30106;Kokomix Pettina;ingredients;ingredients;Internal;kg;
PIE-APP-KG;;Pie Apple;ingredients;ingredients;Internal;ea;
SNA-NUT-EAC;5013;Nuts;ingredients;ingredients;Internal;ea;
CNO-BCB-016;10060;BD Buttercream 16 Bible;novelty;novelty;internal;ea;pos
SNA-OATS-EAC;;Fine Oats;ingredients;ingredients;Internal;kg;
SPI-BPE-KGR;;Spice- Whole Black Pepper;ingredients;ingredients;Internal;kg;
SPI-CIB-EAC;;Spice Cook In Bag;ingredients;ingredients;Internal;kg;
SPI-CIS-EAC;;Spice - Cinnamon Sticks;ingredients;ingredients;Internal;kg;
SPI-DHA-KGR;;Spice- Dhania Powder;ingredients;ingredients;Internal;kg;
CNO-BCB-018;10065;BD Buttercream 18 Bible;novelty;novelty;internal;ea;pos
CNO-BCB-020;10068;BD Buttercream 20 Bible;novelty;novelty;internal;ea;pos
SPI-GAR-KGR;;Spice-Garum Masala;ingredients;ingredients;Internal;kg;
CNO-BCH-016;10063;BD Buttercream 16 Heart;novelty;novelty;internal;ea;pos
CNO-BCH-018;10067;BD Buttercream 18 Heart;novelty;novelty;internal;ea;pos
CNO-BCH-020;10036;BD Buttercream 20 Heart;novelty;novelty;internal;ea;pos
CNO-BCS-014;10059;BD Buttercream 14 Soccer;novelty;novelty;internal;ea;pos
CNO-BCS-014;10059;BD Buttercream 14 Soccer;novelty;novelty;internal;ea;pos
CNO-BCS-016;10064;BD Buttercream 16 Soccer;novelty;novelty;internal;ea;pos
CNO-BNY-018;10085;BD Mould On SL 18;novelty;novelty;internal;ea;pos
CNO-BNY-018;10085;BD Mould On SL 18;novelty;novelty;internal;ea;pos
CNO-BUT-014;10057;BD Buttercream 14 Butterfly;novelty;novelty;internal;ea;pos
CNO-BUT-016;10062;BD Buttercream 16 Butterfly;novelty;novelty;internal;ea;pos
CNO-CAS-018;10087;BD Castle;novelty;novelty;internal;ea;pos
CNO-DHB-020;10167;BD Buttercream 20 Double Heart With Base;novelty;novelty;internal;ea;pos
CNO-DOLL-014;10058;BD Buttercream 14 Doll;novelty;novelty;internal;ea;pos
CNO-DOLL-016;10061;BD Buttercream 16 Doll;novelty;novelty;internal;ea;pos
CNO-DOLL-016;10061;BD Buttercream 16 Doll;novelty;novelty;internal;ea;pos
CNO-FCB-016;30469;BD 16 Freshcream BIBLE;novelty;novelty;internal;ea;pos
CNO-FCB-016;30469;BD 16 Freshcream BIBLE;novelty;novelty;internal;ea;pos
CNO-FCB-018;10071;BD Freshcream 18 Bible;novelty;novelty;internal;ea;pos
CNO-FCB-018;10071;BD Freshcream 18 Bible;novelty;novelty;internal;ea;pos
CNO-FCB-020;10073;BD Freshcream 20 Bible;novelty;novelty;internal;ea;pos
CNO-FCH-016;10070;BD Freshcream 16 Heart;novelty;novelty;internal;ea;pos
CNO-FCH-016;10070;BD Freshcream 16 Heart;novelty;novelty;internal;ea;pos
CNO-FCH-018;10072;BD Freshcream 18 Heart;novelty;novelty;internal;ea;pos
CNO-FCH-020;10027;BD Freshcream 20 Heart;novelty;novelty;internal;ea;pos
CNO-FCS-014;10069;BD Freshcream 14 Soccer;novelty;novelty;internal;ea;pos
CNO-FCS-016;10074;BD Freshcream 16 Soccer;novelty;novelty;internal;ea;pos
CNO-FSF-014;;BD FC With Strawberries & Fence;novelty;novelty;internal;ea;pos
CNO-SPI-018;10086;BD Spiderman On SL 18;novelty;novelty;internal;ea;pos
SRN-AER-022;;Aeroplane Cake 22 in Plastic Icing and B/C;novelty;novelty;internal;ea;pos
SRN-ANI-016;;16 Buttercream Animal Farm;novelty;novelty;internal;ea;pos
SRN-BIB-016;;16 Buttercream Eggless Bible Cake;novelty;novelty;internal;ea;pos
SRN-BIB-020;;20 Fresh Cream Egless Bible Cake;novelty;novelty;internal;ea;pos
SRN-BMW-014;;14 Sponge in plastic icing with BMW sign;novelty;novelty;internal;ea;pos
SRN-BRE-016;;Buttercream Round Eggless with Baby;novelty;novelty;internal;ea;pos
SRN-BSC-016;;BD 16Buttercream with baby grower in PI;novelty;novelty;internal;ea;pos
SRN-BYK-022;;22 Motorbike on Base with Plastic icing;novelty;novelty;internal;ea;pos
SRN-DAI-020;;20 Buttercream with Piped Daisies;novelty;novelty;internal;ea;pos
SPI-GIN-KGR;;Ginger & Garlic;ingredients;ingredients;Internal;kg;
SRN-DBF-020;;20 BC Double Base With Double Figure;novelty;novelty;internal;ea;pos
SRN-DIA-020;;20 Round PI Diamond pattern & Daisies;novelty;novelty;internal;ea;pos
SRN-DOL-016;;16 Doll Cake in Plastic Icing no base;novelty;novelty;internal;ea;pos
SRN-FOB-020;;20 FC Fig on Base with Choc Flakes;novelty;novelty;internal;ea;pos
SRN-HBS-020;;Hugo Boss Suitcase Belt 20 in Plastic Icing;novelty;novelty;internal;ea;pos
SRN-LIV-022;;22 PI Liverpool with Scarf and Boots;novelty;novelty;internal;ea;pos
SRN-LVB-016;;Louis Vittone Bag 16 in Plastic Icing;novelty;novelty;internal;ea;pos
SRN-PAD-016;;40*50 B/C cake with Ipad in PI + pic;novelty;novelty;internal;ea;pos
SRN-PID-014;;BD14' Round covered in plastic icing and daisies;novelty;novelty;internal;ea;pos
SRN-PLR-016;;Plastic Icing 16 round with musical notes;novelty;novelty;internal;ea;pos
SRN-ROA-014;;14 Buttercream with Plastic icing Road;novelty;novelty;internal;ea;pos
SRN-SSC-016;;16 BC S/Berry Short/C Figurine-PI;novelty;novelty;internal;ea;pos
SRN-STA-2TI;;BD2 Tier Stack Sponge- Plastic Icing-12&14;novelty;novelty;internal;ea;pos
SRN-STA-2TI;;BD2 Tier Stack Sponge- Plastic Icing-12&14;novelty;novelty;internal;ea;pos
PIE -CSR-EAC;15002;OD Premium Chicken Tikka Sausage Roll;pies;pies;external;ea;pos
PIE- FSK-EAC;;Pie Steak & Kidney Foil;pies;pies;external;ea;pos
PIE-BBP-EAC;;Pie - Burger Beef;pies;pies;external;ea;pos
PIE-BRC-EAC;;Pie - Burger Chicken Cheese / Sweet Chilli;pies;pies;external;ea;pos
PIE-CCG-EAC;15016;Pie Chicken Cheese Griller;pies;pies;external;ea;pos
PIE-CMS-EAC;;Pie Chicken and Mayo Slice;pies;pies;external;ea;pos
PIE-COD-EAC;15103;Pie OD Chicken & Mushroom;pies;pies;internal;ea;pos
PIE-CPP-EAC;15007;Pie Chicken Peri Peri;pies;pies;external;ea;pos
PIE-CRP-EAC;;Pie - Cornish Pastry;pies;pies;external;ea;pos
PIE-FCP-EAC;;Pie Chicken Peri Peri Foil;pies;pies;external;ea;pos
PIE-FVE-EAC;;Pie Vegetable Curry Foil;pies;pies;external;ea;pos
PIE-MCB-EAC;15011;Pie Mutton Curry Burger;pies;pies;external;ea;pos
PIE-MSR-EAC;15001;OD Premium Mutton Oriental Sausage Roll;pies;pies;external;ea;pos
PIE-ODM-EAC;15101;Pie OD Mutton Curry;pies;pies;internal;ea;pos
PIE-PPS-EAC;15009;Pie Pepper Steak;pies;pies;internal;ea;pos
PIE-PRS-EAC;15017;Pie Prime Steak;pies;pies;external;ea;pos
PIE-SAF-EAC;15005;Pie Spinach & Feta;pies;pies;external;ea;pos
PIE-SAK-EAC;15010;Pie Steak & Kidney;pies;pies;external;ea;pos
PIE-SRB-EACH;15105;Pie Sausage Roll( Beef);pies;pies;external;ea;pos
PIE-VEG-EAC;15004;Pie OD Vegetable;pies;pies;internal;ea;pos
SAV-FCM-EAC;;Frozen Chicken And Mushroom Pie;pies;pies;internal;ea;pos
PLA- MIX-EAC;;Platter Mixy Delight;platter;platter;internal;ea;pos
PLA- PEM-EAC;;Platter Mini Pecan Nut Tarts 24s;platter;platter;internal;ea;pos
PLA -SCO-EAC;;Platter Scone Delight 18s;platter;platter;internal;ea;pos
PLA-CHE-EAC;;Platter Cheeky Delight;platter;platter;internal;ea;pos
PLA-CRM-EAC;;Platter Mini Cream Puffs 24s;platter;platter;internal;ea;pos
PLA-CRO-EAC;;Platter Croissant Delight 20s;platter;platter;internal;ea;pos
PLA-ECM-EAC;;Platter Mini Freshcream Eclairs;platter;platter;internal;ea;pos
PLA-FLM-EAC;;Platter Mini Flakey Bits 24s;platter;platter;internal;ea;pos
PLA-FRM-EAC;;Platter Mini Freshcream Donuts;platter;platter;internal;ea;pos
PLA-JAM-EAC;;Platter Mini Jam Turnovers 24s;platter;platter;internal;ea;pos
PLA-MBD-EAC;;Platter Mini Buttercream Donuts 24s;platter;platter;internal;ea;pos
PLA-MCD-EAC;;Platter Mini Chocolate Donut 24s;platter;platter;internal;ea;pos
PLA-MEA-EAC;;Platter Meaty Delight;platter;platter;internal;ea;pos
PLA-MIM-EAC;;Platter Mini Milk Tarts 24S;platter;platter;internal;ea;pos
PLA-MLP-EAC;;Platter Mini Lamingtons 24s;platter;platter;internal;ea;pos
PLA-MUFF- EAC;;Platter Muffin Delight 30s;platter;platter;internal;ea;pos
PLA-SMA-EAC;;Platter Snacky Delight;platter;platter;internal;ea;pos
PLA-SNM-EAC;;Platter Mini Snowballs 24s;platter;platter;internal;ea;pos
PLA-VEG-EAC;;Platter Veggy Delights;platter;platter;internal;ea;pos
SHP- IDH-32S;;Idhli Platter 32s;platter;platter;internal;ea;pos
SHP-BSP-24S;;Butter Scone Platter 24s;platter;platter;internal;ea;pos
SHP-IDH-EACH;60071;Idhli Pure Butter (4s);platter;platter;internal;ea;pos
SAV-CCS-EAC;;Crumbed Chicken Samoosa;savoury;savoury;internal;ea;pos
SAV-CJF-EAC;;Frozen Cheese And Jalapeno;savoury;savoury;internal;ea;pos
SAV-CJR-EAC;;Chicken & Jalapeno Rissoles;savoury;savoury;internal;ea;pos
SAV-CSA-EAC;;Chicken Samoosa;savoury;savoury;internal;ea;pos
SAV-FCR-EAC;;Frozen Chicken Sausage Rolls;savoury;savoury;internal;ea;pos
SAV-FFI-EAC;;Frozen Fish Cake;savoury;savoury;internal;ea;pos
SAV-FIS-EAC;;Fish Cake;savoury;savoury;internal;ea;pos
SAV-FJC-EAC;;Frozen Chicken And Jalapeno;savoury;savoury;internal;ea;pos
SAV-FKE-EAC;;Frozen Kebabs;savoury;savoury;internal;ea;pos
SAV-FMV-EAC;;Frozen Mix Veg Pie;savoury;savoury;internal;ea;pos
SAV-FPA-EACH;;Frozen Patha Wheel;savoury;savoury;internal;ea;pos
SAV-LMS-EAC;;Lamb Mince Samoosa;savoury;savoury;internal;ea;pos
SAV-PAP-EAC;;Puri & Patha (3s);savoury;savoury;internal;ea;pos
SAV-PAS-EAC;;Patha Samoosa;savoury;savoury;internal;ea;pos
SAV-PUP-EAC;;Puri Plain;savoury;savoury;internal;ea;pos
SAV-RCJ-EAC;;Cheese & Jalapeno Rissoles;savoury;savoury;internal;ea;pos
SAV-RRC-EAC;;Roti Roll Chicken;savoury;savoury;internal;ea;pos
SAV-RRP-EAC;;Roti Roll Potatoe;savoury;savoury;internal;ea;pos
SAV-SAM-EAC;;Samoosa 3s;savoury;savoury;internal;ea;pos
SAV-SCC-EAC;;Cheese And Corn Samoosa;savoury;savoury;internal;ea;pos
SAV-VED-EAC;;Veda;savoury;savoury;internal;ea;pos
SHP- CRW-EAC;;Roti Chicken Wrap;savoury;savoury;internal;ea;pos
SHP- PRW-EAC;;Roti Potatoe Wrap;savoury;savoury;internal;ea;pos
CBC-MCL-EAC;;Mini Lamington Chocolate Plain;shop front;shop front;internal;ea;pos
CEX-MDF-EAC;;Freshcream 6 Layer Drip Cake with Toppings;shop front;shop front;internal;ea;pos
SHP - JAL-EACH;9009;Jalebi 250g;shop front;shop front;external;ea;pos
SHP- BAN-EAC;16055;Banana Loaf;shop front;shop front;internal;ea;pos
SHP- GUL-1KG;;Gulab Jamun 1kg;shop front;shop front;external;ea;pos
SHP- GUL-4S;60001;Gulab Jamun 4s Pure Butter;shop front;shop front;external;ea;pos
SHP- MOL-6S;;DC Sweetmeats Mini Oval Laser Cut Wooden (6s);shop front;shop front;external;ea;pos
SHP- RAE-EAC;16058;Eggless Rainbow Sponge Log;shop front;shop front;internal;ea;pos
SHP- SWEE-250G;;DC Sweet Meats Assorted 250g;shop front;shop front;external;ea;pos
SHP-AUA-EAC;9008;DC Authentic Assorted Sweetmeats 11 pieces;shop front;shop front;external;ea;pos
SHP-AUT-EAC;;Authentic Ladoo;shop front;shop front;external;ea;pos
SHP-BAN-6S;8080;Banana Puri (6s);shop front;shop front;external;ea;pos
SHP-BBS-EAC;;Sweetmeats Boujee Singles;shop front;shop front;external;ea;pos
SHP-BCC-EAC;16041;Buttercream Christmas cakes;shop front;shop front;internal;ea;pos
SHP-BCG-EAC;16042;ButterCream Christmas Gateaux;shop front;shop front;internal;ea;pos
SHP-BRB-400;30370;Bread Brown 400g;shop front;shop front;internal;ea;pos
SHP-BRB-400G;;Bread Bunny Loaf 400g;shop front;shop front;internal;ea;pos
SHP-BRB-800;13005;Sun Bread Brown 800g;shop front;shop front;internal;ea;pos
SHP-BRG-EAC;16003;Bread Garlic 300g;shop front;shop front;internal;ea;pos
SHP-BRO-EAC;;Butter Roti (6s);shop front;shop front;internal;ea;pos
SHP-BRR-500;16004;Bread Tea Ring;shop front;shop front;internal;ea;pos
SHP-BRT-500;16005;Bread Tea Loaf 500g;shop front;shop front;internal;ea;pos
SHP-BRW-400;30372;Bread White 400g;shop front;shop front;internal;ea;pos
SHP-BRW-800;13003;Sun Bread White 800;shop front;shop front;internal;ea;pos
SHP-BSC-EAC;16044;Butter Scones (4s);shop front;shop front;internal;ea;pos
SHP-BTW-500;16007;Bread 500g Twist;shop front;shop front;internal;ea;pos
SHP-BUN-EAC;16008;Buns 100g Soft 6s;shop front;shop front;internal;ea;pos
SHP-BUR-1KG;;Burfee 1kg;shop front;shop front;internal;ea;pos
SHP-BUR-KGR;;Burfee 9pc;shop front;shop front;internal;ea;pos
SHP-CFI-EAC;16015;Christmas fruit Cake Round Iced;shop front;shop front;internal;ea;pos
SHP-CFP-EAC;16016;Christmas Fruit Cake Round Plain;shop front;shop front;internal;ea;pos
SHP-CHA-1KG;;Chana Magaj 1kg;shop front;shop front;internal;ea;pos
SHP-CHB-04S;30755;Chelsea Buns (6s);shop front;shop front;internal;ea;pos
SHP-CHO-PLN;16013;Chocolate Gateaux Plain;shop front;shop front;internal;ea;pos
SHP-CPN-EAC;16014;Carrot and Pecan Nut Slab;shop front;shop front;internal;ea;pos
SHP-CRB-06S;16017;Cream Buns 6s;shop front;shop front;internal;ea;pos
SHP-CRM-EAC;;Christmas Round Mini Cake;shop front;shop front;internal;ea;pos
SHP-CRO-06S;16018;Rolls 70g Soft Hotdog Cheese 6;shop front;shop front;internal;ea;pos
SHP-CSC-EAC;6001651011913;Chocolate Sponge Cake;shop front;shop front;internal;ea;pos
SHP-CTP-EAC;;Christmas Steamed Pudding;shop front;shop front;internal;ea;pos
SHP-CTR-EAC;16020;Cocktail Rolls;shop front;shop front;internal;ea;pos
SHP-CWP-EAC;16038;Christmas Windsor Plain;shop front;shop front;internal;ea;pos
SHP-CWS-EAC;16049;Christmas Windsor Slice;shop front;shop front;internal;ea;pos
SHP-DBB-EAC;;DC Diwali Bandhani Box;shop front;shop front;external;ea;pos
SHP-DDB-EAC;;DC Diwali Designer Biscuit;shop front;shop front;external;ea;pos
SHP-DDD-EAC;;DC Diwali Designer Burfee;shop front;shop front;external;ea;pos
SHP-DEG-EAC;;DC Diwali Eggless Cake;shop front;shop front;internal;ea;pos
SHP-DIB-EACH;;DC Authentic Diya Boxes;shop front;shop front;external;ea;pos
SHP-DJA-EAC;;DC Diwali Jalebi;shop front;shop front;external;ea;pos
SHP-DLB-EAC;;DC Diwali Large Bag;shop front;shop front;external;ea;pos
SHP-DLD-EAC;;DC Diwali Large Designer Box;shop front;shop front;external;ea;pos
SHP-DMA-EAC;;DC Diwali Macaroons;shop front;shop front;external;ea;pos
SHP-DOP-10S;110103;Doughnut Pops 10s;shop front;shop front;external;ea;pos
SHP-DPB-EAC;;DC Diwali Peacock Box;shop front;shop front;external;ea;pos
SHP-DRO-EAC;16045;Dhall Roti (6s);shop front;shop front;external;ea;pos
SHP-DSB-EAC;;DC Diwali Small Bag;shop front;shop front;external;ea;pos
SHP-FCE-EAC;;Christmas Fruit Cake Eggless Round;shop front;shop front;internal;ea;pos
SHP-GAT-EAC;16021;DC Diwali Gateaux;shop front;shop front;internal;ea;pos
SHP-GLC-EAC;;DC Diwali Gold Laser Cut;shop front;shop front;external;ea;pos
SHP-HBU-EAC;16022;Hot x Buns 6s;shop front;shop front;internal;ea;pos
SHP-JSW-EAC;;Vanilla Jam Swissroll;shop front;shop front;internal;ea;pos
SHP-LAC-EACH;110102;Chocolate Lamington 5 pack;shop front;shop front;internal;ea;pos
SHP-LAD-EAC;;Ladoo 9 piece;shop front;shop front;internal;ea;pos
SHP-LAR-EACH;110101;Raspberry Lamington 5 pack;shop front;shop front;internal;ea;pos
SHP-LEM-EAC;;Lemon Loaf;shop front;shop front;internal;ea;pos
SHP-LHS-375;9003;DC Large Hexagonal Deluxe Sweetmeats 375g;shop front;shop front;external;ea;pos
SHP-LJS-350;9004;DC Large Jewels Deluxe Sweetmeats 350g;shop front;shop front;external;ea;pos
SPI-JEE-KGR;;Spice - Mayas Jeera Powder;ingredients;ingredients;Internal;kg;
SPI-JEP-KGR;;Spice Jeera Powder;ingredients;ingredients;Internal;kg;
SHP-LWC-360G;;DC Sweetmeats Lamp Wooden Cut 360g;shop front;shop front;external;ea;pos
SHP-MAD-EAC;16023;Madeira;shop front;shop front;internal;ea;pos
SHP-MHS-165;9001;DC Mini Hexagonal Deluxe Sweetmeats 165g;shop front;shop front;external;ea;pos
SHP-MIN-EAC;16024;Mince Pies;shop front;shop front;internal;ea;pos
SHP-MJS-250;9002;DC Mini Jewels Deluxe Sweetmeats 250g;shop front;shop front;external;ea;pos
SHP-MRO-EACH;16048;Brown Roti (6s);shop front;shop front;internal;ea;pos
SHP-NAA-02S;16025;Naan 300g 2s;shop front;shop front;internal;ea;pos
SHP-NAA-EAC;16026;Naan 300g;shop front;shop front;internal;ea;pos
SHP-PFC-4S;60074;Poli With Fresh Coconut 4s;shop front;shop front;external;ea;pos
SPI-KNO-EAC;;Spice- Knorrx Mutton Flavour 12s;ingredients;ingredients;Internal;kg;
SPI-MAS-KGR;;Spice- Chilli Powder;ingredients;ingredients;Internal;kg;
SPI-MIN-EAC;;Spice - Mint;ingredients;ingredients;Internal;kg;
SPI-MIX-KGR;;Spice- Mayas Mixed Masala;ingredients;ingredients;Internal;kg;
SPI-MSM-KGR;;Manilal Special Mix Masala;ingredients;ingredients;Internal;kg;
SPI-NAN-KGR;;Nandos Sauce;ingredients;ingredients;Internal;lt;
SPI-NOL-KGR;;Nola Mayonaise;ingredients;ingredients;Internal;kg;
SPI-PAR-EAC;;Parsley;ingredients;ingredients;Internal;kg;
SPI-SVS-100G;;SVS Spices 100g;ingredients;ingredients;Internal;kg;
SPI-SVS-50G;;SVS Spices 50g;ingredients;ingredients;Internal;kg;
SPI-THY-EACH;;Spice - Fresh Thyme;ingredients;ingredients;Internal;kg;
SPI-TUM-KGR;;Spice Tumeric;ingredients;ingredients;Internal;kg;
SWE-WHI-EAC;;Whispers 200g;ingredients;ingredients;Internal;kg;
VEG -ONI-KGR;;Onions;ingredients;ingredients;Internal;kg;
VEG- POT-KGR;;Potatoes;ingredients;ingredients;Internal;kg;
VEG-CHI-KGR;;Green Chillies;ingredients;ingredients;Internal;kg;
VEG-MUS-KGR;;Mushrooms;ingredients;ingredients;Internal;kg;
Water;;Water;ingredients;ingredients;Internal;lt;
XBF-BAN-EAC;30094;Fruit Banana;ingredients;ingredients;Internal;kg;
